code	char	count	examples
000A	　	731	game_dump\DATA\MEMCARD.DAT[28]: 　番のプレイデータを上書きしますか？{END} | game_dump\DATA\MEMCARD.DAT[29]: 　番にセーブしますか？{END} | game_dump\DATA\MEMCARD.DAT[30]: 　番のプレイデータをロードしますか？{END} | game_dump\DATA\MEMCARD.DAT[3000]: 発電所　エントランス{END} | game_dump\DATA\MEMCARD.DAT[3001]: 発電所　煙突{END}
000B	＋	14	game_dump\DATA\MENU\STATUS_MSG.DAT[0]: 操作\nＬ１ボタン（チャージ）＋パンチ\nチャージ麗１〜５０％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[1]: 操作\nＬ１ボタン（チャージ）＋キック\nチャージ麗１〜５０％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[2]: 操作\nＬ１ボタン（チャージ）＋パンチ\nチャージ麗５１〜１００％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[3]: 操作\nＬ１ボタン（チャージ）＋キック\nチャージ麗５１〜１００％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[10]: 操作\nＬ２ボタン（チャージ）＋パンチ\nチャージ麗１〜５０％の必殺技{END}
000C	−	47	game_dump\DATA\MENU\ITEM_MSG.DAT[35]: 『機城の鍵』\n鍵のタグに「Ａ−３３」と書かれている{END} | game_dump\DATA\SCREVENT\MSG\H_FILE.DAT[12]: ファイル『対侵入者用プログラム−２−』を\n入手した{END} | game_dump\DATA\SCREVENT\MSG\H_FILE.DAT[16]: ファイル『対侵入者用プログラム−１−』を\n入手した{END} | game_dump\DATA\SCREVENT\MSG\H_FILE.DAT[20]: ファイル『所長の手記−３−』を\n入手した{END} | game_dump\DATA\SCREVENT\MSG\H_FILE.DAT[23]: ファイル『所長のメモ−１−』を\n入手した{END}
000E	、	175	game_dump\DATA\SCREVENT\MSG\EV002.DAT[4]: 仮面ライダー、今に我々の\n本当の力を思い知らせてやる{END} | game_dump\DATA\SCREVENT\MSG\EV002.DAT[5]: ドクガンダー、何度再生しようと\nお前たちの野望はオレが打ち砕く！{END} | game_dump\DATA\SCREVENT\MSG\EV002.DAT[6]: 再生？…フン、オレはもはや\nショッカーの一員ではない{END} | game_dump\DATA\SCREVENT\MSG\EV007.DAT[9]: ２００４年の現在、{END} | game_dump\DATA\SCREVENT\MSG\EV007.DAT[10]: そしてお前の手の届かない、\n過去の３つの年…{END}
000F	。	28	game_dump\DATA\SCREVENT\MSG\EV024.DAT[2]: やはり…あの写真に写っていたのは\n君か…教えてくれ。博土は一体何者なんだ？{END} | game_dump\DATA\SCREVENT\MSG\EV027.DAT[0]: コバルト爆弾。これをマグマに投下して\n地震を…奴らの計画はこれだな…だが、{END} | game_dump\DATA\SCREVENT\MSG\EV042.DAT[12]: 私はね地獄でも決して忘れなかった。\nお前に倒された…{END} | game_dump\DATA\SCREVENT\MSG\EV044.DAT[1]: 私は仮面ライダー。君は？{END} | game_dump\DATA\SCREVENT\MSG\EV045.DAT[4]: 私は仮面ライダー。君は？{END}
0011	・	7	game_dump\DATA\SCREVENT\MSG\EV021.DAT[1]: デストロン・ヨロイ元帥、出現から２ヶ月後{END} | game_dump\DATA\SCREVENT\MSG\EV999.DAT[0]: ここがやつらの工場か・・・{END} | game_dump\DATA\SCREVENT\MSG\UPCUT.DAT[13]: クレーン起動中・・・{END}
0012	？	219	game_dump\DATA\MEMCARD.DAT[3]: システム設定ファイルの作成を\n行いませんでした\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[5]: オプションの設定をセーブしますか？{END} | game_dump\DATA\MEMCARD.DAT[6]: 設定を保存せずにゲームに戻りますか？{END} | game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[8]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\nフォーマットがされていません\n\nフォーマットをしますか？{END}
0013	！	496	game_dump\DATA\SCREVENT\MSG\EV001.DAT[0]: 待て！{END} | game_dump\DATA\SCREVENT\MSG\EV001.DAT[1]: とぉ！{END} | game_dump\DATA\SCREVENT\MSG\EV002.DAT[0]: ！！{END} | game_dump\DATA\SCREVENT\MSG\EV002.DAT[1]: ドクガンダー！{END} | game_dump\DATA\SCREVENT\MSG\EV002.DAT[2]: あれは！？{END}
0014	々	22	game_dump\DATA\SCREVENT\MSG\EV002.DAT[4]: 仮面ライダー、今に我々の\n本当の力を思い知らせてやる{END} | game_dump\DATA\SCREVENT\MSG\EV007.DAT[11]: 我々はその全てで同時に計画を\n実行しているのだ{END} | game_dump\DATA\SCREVENT\MSG\EV007.DAT[13]: 我々の世界が到来するのだ！{END} | game_dump\DATA\SCREVENT\MSG\EV008.DAT[0]: わ…我々の時空を超えた計画は…\nお前には止められん！{END} | game_dump\DATA\SCREVENT\MSG\EV012.DAT[0]: 我々のアジトを\n見たヤツは生かしておけん！死ねぇ！{END}
0015	ー	809	game_dump\DATA\MEMCARD.DAT[1]: フォーマット中です{END} | game_dump\DATA\MEMCARD.DAT[3]: システム設定ファイルの作成を\n行いませんでした\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[4]: セーブ中です{END} | game_dump\DATA\MEMCARD.DAT[5]: オプションの設定をセーブしますか？{END} | game_dump\DATA\MEMCARD.DAT[6]: 設定を保存せずにゲームに戻りますか？{END}
0016	〜	13	game_dump\DATA\MENU\STATUS_MSG.DAT[0]: 操作\nＬ１ボタン（チャージ）＋パンチ\nチャージ麗１〜５０％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[1]: 操作\nＬ１ボタン（チャージ）＋キック\nチャージ麗１〜５０％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[2]: 操作\nＬ１ボタン（チャージ）＋パンチ\nチャージ麗５１〜１００％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[3]: 操作\nＬ１ボタン（チャージ）＋キック\nチャージ麗５１〜１００％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[10]: 操作\nＬ２ボタン（チャージ）＋パンチ\nチャージ麗１〜５０％の必殺技{END}
0017	…	793	game_dump\DATA\SCREVENT\MSG\DOOR_CLOSE.DAT[11]: パソコンの操作が必要なようだ…{END} | game_dump\DATA\SCREVENT\MSG\DOOR_CLOSE.DAT[17]: 何かの装置で厳重に閉められている…\nいくつかのスロットがついている…{END} | game_dump\DATA\SCREVENT\MSG\DOOR_CLOSE.DAT[18]: 壁にわずかなスキマがある…\n…だが動かせないようだ{END} | game_dump\DATA\SCREVENT\MSG\DOOR_CLOSE.DAT[19]: 扉はロックされている\n鍵穴のようなものは見当たらない…{END} | game_dump\DATA\SCREVENT\MSG\DOOR_CLOSE.DAT[20]: 扉がなくなっている…\nこちらから開けることはできない{END}
001A	（	69	game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[8]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\nフォーマットがされていません\n\nフォーマットをしますか？{END} | game_dump\DATA\MEMCARD.DAT[9]: このゲームのデータをセーブするには\nメモリーカード（ＰＳ２）に\nシステム設定ファイルを\n作成する必要があります\n\nシステム設定ファイルを作成しても\nよろしいですか？{END} | game_dump\DATA\MEMCARD.DAT[10]: 新たにメモリーカード（ＰＳ２）が\n差されました{END} | game_dump\DATA\MEMCARD.DAT[14]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END}
001B	）	69	game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[8]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\nフォーマットがされていません\n\nフォーマットをしますか？{END} | game_dump\DATA\MEMCARD.DAT[9]: このゲームのデータをセーブするには\nメモリーカード（ＰＳ２）に\nシステム設定ファイルを\n作成する必要があります\n\nシステム設定ファイルを作成しても\nよろしいですか？{END} | game_dump\DATA\MEMCARD.DAT[10]: 新たにメモリーカード（ＰＳ２）が\n差されました{END} | game_dump\DATA\MEMCARD.DAT[14]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END}
001C	「	26	game_dump\DATA\MEMCARD.DAT[22]: 今回のクリア情報を\nシステム設定ファイルにセーブします\nセーブを行うと今回のクリア情報が\n「ＲＥＣＯＲＤ」に登録されます\n\n\n\n\n\n\nセーブしますか？{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[30]: 『データスティック』\nデータを記録する為のものだ\n裏に「所長用」とかかれている{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[35]: 『機城の鍵』\n鍵のタグに「Ａ−３３」と書かれている{END} | game_dump\DATA\SCREVENT\MSG\EV048.DAT[18]: その「肉体」…非力すぎる…{END} | game_dump\DATA\SCREVENT\MSG\EV048.DAT[23]: その「力」…その「命」\nあとわずかと思え…{END}
001D	」	26	game_dump\DATA\MEMCARD.DAT[22]: 今回のクリア情報を\nシステム設定ファイルにセーブします\nセーブを行うと今回のクリア情報が\n「ＲＥＣＯＲＤ」に登録されます\n\n\n\n\n\n\nセーブしますか？{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[30]: 『データスティック』\nデータを記録する為のものだ\n裏に「所長用」とかかれている{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[35]: 『機城の鍵』\n鍵のタグに「Ａ−３３」と書かれている{END} | game_dump\DATA\SCREVENT\MSG\EV048.DAT[18]: その「肉体」…非力すぎる…{END} | game_dump\DATA\SCREVENT\MSG\EV048.DAT[23]: その「力」…その「命」\nあとわずかと思え…{END}
001E	『	282	game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1000]: 『レバー』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1001]: 『発電所ＩＤカードＬＶ２』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1002]: 『発電所ＩＤカードＬＶ１』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1003]: 『エレベーター起動キー』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1004]: 『ショッカーカード』{END}
001F	』	282	game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1000]: 『レバー』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1001]: 『発電所ＩＤカードＬＶ２』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1002]: 『発電所ＩＤカードＬＶ１』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1003]: 『エレベーター起動キー』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1004]: 『ショッカーカード』{END}
0022	％	16	game_dump\DATA\MENU\STATUS_MSG.DAT[0]: 操作\nＬ１ボタン（チャージ）＋パンチ\nチャージ麗１〜５０％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[1]: 操作\nＬ１ボタン（チャージ）＋キック\nチャージ麗１〜５０％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[2]: 操作\nＬ１ボタン（チャージ）＋パンチ\nチャージ麗５１〜１００％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[3]: 操作\nＬ１ボタン（チャージ）＋キック\nチャージ麗５１〜１００％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[10]: 操作\nＬ２ボタン（チャージ）＋パンチ\nチャージ麗１〜５０％の必殺技{END}
0023	→	78	game_dump\DATA\MEMCARD.DAT[100]: →{END} | game_dump\DATA\SCREVENT\MSG\MEMCARD.DAT[100]: →{END} | game_dump\DATA\SCREVENT\MSG\R01A.DAT[18]: 　　　→はい　　　　いいえ{END} | game_dump\DATA\SCREVENT\MSG\R01A.DAT[19]: 　　　　はい　　　→いいえ{END} | game_dump\DATA\SCREVENT\MSG\R01B.DAT[18]: 　　　→はい　　　　いいえ{END}
0026	↓	127	game_dump\DATA\MEMCARD.DAT[103]: ↓{END} | game_dump\DATA\SCREVENT\MSG\DOOR_CLOSE.DAT[1000]: ↓{END} | game_dump\DATA\SCREVENT\MSG\EV013.DAT[1000]: ↓{END} | game_dump\DATA\SCREVENT\MSG\EV061.DAT[1000]: ↓{END} | game_dump\DATA\SCREVENT\MSG\EV085.DAT[1000]: ↓{END}
0030	★	2	game_dump\DATA\MEMCARD.DAT[4000]: ★{END} | game_dump\DATA\SCREVENT\MSG\MEMCARD.DAT[4000]: ★{END}
0037	Ａ	21	game_dump\DATA\MEMCARD.DAT[2002]: ＢＬＡＣＫ{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[12]: 『ロック解除キー』\nタグにＡ６とかかれている{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[35]: 『機城の鍵』\n鍵のタグに「Ａ−３３」と書かれている{END} | game_dump\DATA\SCREVENT\MSG\EV018.DAT[2]: 仮面ライダーＢＬＡＣＫ！{END} | game_dump\DATA\SCREVENT\MSG\EV044.DAT[4]: 僕の名は仮面ライダーＢＬＡＣＫ！{END}
0038	Ｂ	31	game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[14]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[37]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\n\n３０５ＫＢ以上の空き容量のある\nメモリーカード（ＰＳ２）を\nメモリーカード差込口１へと\n差してください{END} | game_dump\DATA\MEMCARD.DAT[2002]: ＢＬＡＣＫ{END} | game_dump\DATA\MEMCARD.DAT[3004]: 発電所　Ｂ１Ｆ通路{END}
0039	Ｃ	20	game_dump\DATA\MEMCARD.DAT[22]: 今回のクリア情報を\nシステム設定ファイルにセーブします\nセーブを行うと今回のクリア情報が\n「ＲＥＣＯＲＤ」に登録されます\n\n\n\n\n\n\nセーブしますか？{END} | game_dump\DATA\MEMCARD.DAT[2002]: ＢＬＡＣＫ{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1024]: 『ＩＣレコーダー』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1028]: 『ＩＣチップカード』{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[25]: 『ＩＣレコーダー』\n所長の声が録音された\nＩＣ式のレコーダー{END}
003A	Ｄ	25	game_dump\DATA\MEMCARD.DAT[22]: 今回のクリア情報を\nシステム設定ファイルにセーブします\nセーブを行うと今回のクリア情報が\n「ＲＥＣＯＲＤ」に登録されます\n\n\n\n\n\n\nセーブしますか？{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1001]: 『発電所ＩＤカードＬＶ２』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1002]: 『発電所ＩＤカードＬＶ１』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1035]: 『発電所ＩＤカードＬＶ１』{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[2]: 『発電所ＩＤカードＬＶ２』\n燃料など危険物を貯歳している\n部屋用のカード{END}
003B	Ｅ	10	game_dump\DATA\MEMCARD.DAT[22]: 今回のクリア情報を\nシステム設定ファイルにセーブします\nセーブを行うと今回のクリア情報が\n「ＲＥＣＯＲＤ」に登録されます\n\n\n\n\n\n\nセーブしますか？{END} | game_dump\DATA\SCREVENT\MSG\EV017.DAT[0]: ＥＶ０１７発生{END} | game_dump\DATA\SCREVENT\MSG\EV028.DAT[0]: ＥＶ０２８が始まります{END} | game_dump\DATA\SCREVENT\MSG\EV063.DAT[10]: ＥＶ０６３が発生します{END} | game_dump\DATA\SCREVENT\MSG\EV069.DAT[0]: イベントＥＶ０６９発動{END}
003C	Ｆ	11	game_dump\DATA\MEMCARD.DAT[3004]: 発電所　Ｂ１Ｆ通路{END} | game_dump\DATA\MEMCARD.DAT[3009]: 発電所　Ｂ２Ｆ通路{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[4]: 発電所　Ｂ１Ｆ通路{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[9]: 発電所　Ｂ２Ｆ通路{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[1050]: 発電所　Ｂ１Ｆ通路{END}
003F	Ｉ	29	game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1001]: 『発電所ＩＤカードＬＶ２』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1002]: 『発電所ＩＤカードＬＶ１』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1024]: 『ＩＣレコーダー』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1028]: 『ＩＣチップカード』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1035]: 『発電所ＩＤカードＬＶ１』{END}
0041	Ｋ	15	game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[14]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[37]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\n\n３０５ＫＢ以上の空き容量のある\nメモリーカード（ＰＳ２）を\nメモリーカード差込口１へと\n差してください{END} | game_dump\DATA\MEMCARD.DAT[2002]: ＢＬＡＣＫ{END} | game_dump\DATA\SCREVENT\MSG\EV018.DAT[2]: 仮面ライダーＢＬＡＣＫ！{END}
0042	Ｌ	39	game_dump\DATA\MEMCARD.DAT[2002]: ＢＬＡＣＫ{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1001]: 『発電所ＩＤカードＬＶ２』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1002]: 『発電所ＩＤカードＬＶ１』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1035]: 『発電所ＩＤカードＬＶ１』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[2001]: 『ライフパック（Ｌ）』{END}
0043	Ｍ	4	game_dump\DATA\MENU\FIELD_NAME.DAT[2002]: Ｂ４Ｍ{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[2004]: Ｂ３Ｍ{END} | game_dump\DATA\SCREVENT\MSG\EV207.DAT[0]: ＢＥＳＴ　ＴＩＭＥ{END} | game_dump\DATA\SCREVENT\MSG\EV207.DAT[1]: ＴＩＭＥ{END}
0044	Ｎ	9	game_dump\DATA\SCREVENT\MSG\EV109.DAT[4]: ＢＬＡＣＫ　ＳＵＮ\nお前は運命を信じるか？{END} | game_dump\DATA\SCREVENT\MSG\EV207.DAT[2]: ＲＡＮＫ{END} | game_dump\DATA\SCREVENT\MSG\R07A.DAT[8]: 『ＤＮＡ解析表』『ホヤの研究』\n『ゲノムレポート』『水棲生物研究書』{END} | game_dump\DATA\SCREVENT\MSG\R07B.DAT[8]: 『ＤＮＡ解析表』『ホヤの研究』\n『ゲノムレポート』『水棲生物研究書』{END} | game_dump\DATA\SCREVENT\MSG\R07C.DAT[8]: 『ＤＮＡ解析表』『ホヤの研究』\n『ゲノムレポート』『水棲生物研究書』{END}
